0	1	I	eps
1	2	I	eps
2	3	I	eps
1	4	V	eps
0	5	V	eps
5	6	I	eps
6	7	I   eps
7	8	I	eps
1	9	X	eps
0	10	X	eps
10	11	X	eps
11	12	X	eps
10	13	L	eps
0	14	L	eps
14	15	X	eps
15	16	X	eps
16	17	x	eps
10	18	C	eps
0	19	$	0
1	19	$	1
2	19	$	2
3	19	$	3
4	19	$	4
5	19	$	5
6	19	$	6
7	19	$	7
8	19	$	8
9	19	$	9
10	19	$	10
11	19	$	20
12	19	$	30
13	19	$	40
14	19	$	50
15	19	$	60
16	19	$	70
17	19	$	80
18	19	$	90
10 	1	I	1
10 	5	V	1
11 	1	I	2
11 	5	V	2
12 	1	I	3
12 	5	V	3
13 	1	I	4
13 	5	V	4
14 	1	I	5
14 	5	V	5
15 	1	I	6
15 	5	V	6
16 	1	I	7
16	5	V	7
17 	1	I	8
17	5	V	8
18	1	I	9
18	5	V	9
19
