0	0	a	X
0	0	e	9
0	3	i	eps
0	0	o	0
0	0	u	8
0	0	0	0
0	0	1	1
0	0	2	2
0	0	3	3
0	0	4	4
0	0	5	5
0	0	6	6
0	0	7	7
0	0	8	8
0	0	9	9
0	0	b	b
0	0	c	c
0	0	d	d
0	0	f	f
0	0	g	g
0	0	h	h
0	0	j	j
0	0	k	k
0	0	l	l
0	0	n	n
0	0	p	p
0	0	q	q
0	0	r	r
0	0	s	s
0	0	t	t
0	0	v	v
0	0	w	w
0	0	x	x
0	0	y	y
0	0	z	z
0	0	I	I
0	0	V	V
0	0	X	X
0	0	L	L
0	0	C	C
0	0	_	_
0	1	m	eps
1	0	b	7
1	2	eps	m
2	0	a	X
2	0	e	9
2	3	i	eps
2	0	o	0
2	0	u	8
2	1	m	eps
2	0	0	0
2	0	1	1
2	0	2	2
2	0	3	3
2	0	4	4
2	0	5	5
2	0	6	6
2	0	7	7
2	0	8	8
2	0	9	9
2	0	c	c
2	0	d	d
2	0	f	f
2	0	g	g
2	0	h	h
2	0	j	j
2	0	k	k
2	0	l	l
2	0	n	n
2	0	p	p
2	0	q	q
2	0	r	r
2	0	s	s
2	0	t	t
2	0	v	v
2	0	w	w
2	0	x	x
2	0	y	y
2	0	z	z
2	0	I	I
2	0	V	V
2	0	X	X
2	0	L	L
2	0	C	C
2	0	_	_
3	4	r	V
4	0	eps	r
3	5	eps	L
5	0	a	X
5	0	e	9
5	3	i	eps
5	0	o	0
5	0	u	8
5	1	m	eps
5	0	0	0
5	0	1	1
5	0	2	2
5	0	3	3
5	0	4	4
5	0	5	5
5	0	6	6
5	0	7	7
5	0	8	8
5	0	9	9
5	0	b	b
5	0	c	c
5	0	d	d
5	0	f	f
5	0	g	g
5	0	h	h
5	0	j	j
5	0	k	k
5	0	l	l
5	0	n	n
5	0	p	p
5	0	q	q
5	0	s	s
5	0	t	t
5	0	v	v
5	0	w	w
5	0	x	x
5	0	y	y
5	0	z	z
5	0	I	I
5	0	V	V
5	0	X	X
5	0	L	L
5	0	C	C
5	0	_	_
0
